"","query_target_gsea.Target.name","query_target_gsea.dangshen_CS","query_target_gsea.huangqi_CS","query_target_gsea.dangshen_NCS","query_target_gsea.huangqi_NCS","query_target_gsea.dangshen_Pvalue","query_target_gsea.huangqi_Pvalue","query_target_gsea.dangshen_FDR","query_target_gsea.huangqi_FDR"
"ADRA2A","ADRA2A",0.043368,-0.052055,0.638277230923424,-0.765787673898763,0.551383399209486,0.524291497975709,0.957169288844812,0.96671891312602
"GABRR2","GABRR2",-0.27716,0.023586,-4.33571686278038,0.35304849107966,0,0.655577299412916,0,0.950915407687347
"PRKCI","PRKCI",-0.103219,-0.129725,-1.38947659242183,-1.74628557680196,0.386904761904762,0.172619047619048,0.811704071301241,0.484178972056873
"COX6B1","COX6B1",0.3905,0.015571,6.11125655634687,0.243683420842195,0,0.774257425742574,0,0.96410959612338
"P2RX4","P2RX4",-0.38077,0.156683,-5.58349773763283,2.17810396472579,0,0.0556701030927835,0,0.168850543629234
"CTSB","CTSB",0.06973,0.01705,1.03697666638187,0.25355588931322,0.517745302713987,0.74321503131524,0.965860703237031,0.963266835004266
"NTRK1","NTRK1",-0.39819,-0.172515,-6.06210604862589,-2.62639499982093,0,0.0118811881188119,0,0.0412307228526073
"GRM5","GRM5",0.03198,0.044766,0.488688624400245,0.684072387739255,0.581632653061224,0.520408163265306,0.950883619057668,0.962379138238109
"CSNK2A2","CSNK2A2",0.101101,-0.204537,1.52604699531912,-3.22218180708957,0.310018903591682,0,0.687464967955789,0.00458143329446461
"NAMPT","NAMPT",-0.45907,-0.0385,-7.04629871584879,-0.590939291524557,0,0.559426229508197,0,0.95461518533942
"CALM1","CALM1",0.37569,0.028607,5.82908199316347,0.443856766425583,0,0.597194388777555,0,0.950332615186241
"ANPEP","ANPEP",0.05471,0.026986,0.848137034980181,0.418348126959882,0.49146110056926,0.601518026565465,0.970701435735457,0.949665182889299
"NR1H2","NR1H2",0.34266,0.201561,5.30659215551326,3.12146740634275,0,0,0,0.00579785950978382
"FAAH","FAAH",0.283589,-0.026235,4.34493172854648,-0.390856721600908,0,0.635458167330677,7.70279018503777e-06,0.942716214514533
"ADH1A","ADH1A",-0.24183,-0.016911,-3.71162602219194,-0.259551369397047,0,0.734475374732334,0.000332379160569098,0.951659124631306
